Links,First discovered
http://www.molecularlab.it/forum/topic.asp?whichpage=1&TOPIC_ID=14554&,2017-01-08
http://www.wikiwand.com/en/Quantitative_structure%E2%80%93activity_relationship,2017-01-07
http://www.secret-bases.co.uk/wiki/Quantitative_structure%E2%80%93activity_relationship,2017-01-05
http://wikivisually.com/wiki/QSAR/wiki_ph_id_0,2017-01-05
http://meddic.jp/3D-QSAR,2017-01-05
https://www.wikiwand.com/sr/Kvantitativni_odnos_strukture_i_aktivnosti,2016-12-28
http://people.ucas.ac.cn/~0006128,2016-12-24
http://dctf.uniroma1.it/en/node/5589,2016-12-18
http://www.wow.com/wiki/QSAR,2016-12-15
http://wustl.academia.edu/FlavioBallante,2016-12-03
http://hulab.esynbio.com/home/caddpapers/,2016-11-22
http://dctf.uniroma1.it/en/node/5744,2016-11-20
http://dctf.uniroma1.it/ricerca/gruppi-di-ricerca/rome-center-for-molecular-design,2016-10-02
http://www.royaltarantula.it/,2016-09-10
https://www.similarweb.com/website/dctf.uniroma1.it,2016-07-10
https://www.tceq.net/publications/rg/rg-442.html/at_download/file,2016-05-19
http://www.tceq.com/publications/rg/rg-442.html/at_download/file,2016-05-19
http://epo.wikitrans.net/QSAR,2016-05-05
http://3d-qsar.com.webstatsdomain.org/,2016-05-03
http://www.vls3d.com/index.php/links/chemoinformatics/qsar,2016-04-26
http://dctf.uniroma1.it/engl/search/research-groups,2016-04-21
http://www.openu.ac.il/lists/mediaserver_documents/academic/cs/Usingsearchindexesgeometricgraphs.doc,2016-04-16
https://sr.wikipedia.org/wiki/Kvantitativni_odnos_strukture_i_aktivnosti,2016-04-15
https://en.wikipedia.org/wiki/Quantitative_structure%E2%80%93activity_relationship,2016-04-13
http://www.vls3d.com/links/chemoinformatics/qsar,2016-04-13
http://www.molecularlab.it/forum/topic.asp?TOPIC_ID=14554,2016-04-13
http://people.ucas.ac.cn/~jkyang,2016-04-13
http://hulab.lifemodules.org/home/caddpapers/,2016-04-12
http://www.eryi.org/blog/post/molecular-simulation-websites.html,2016-04-10
http://blog.sina.com.cn/s/blog_be8306ac0101bolz.html,2016-04-10
https://sh.wikipedia.org/wiki/Kvantitativni_odnos_strukture_i_aktivnosti,2016-04-05
http://dbpedia.org/page/Quantitative_structure%E2%80%93activity_relationship,2016-03-27
https://www.tceq.texas.gov/publications/rg/rg-442.html/at_download/file,2016-03-26
http://www.ccl.net/chemistry/resources/messages/2011/06/18.002-dir/,2016-03-16
http://dctf.uniroma1.it/ricerca/gruppi-di-ricerca,2016-03-12
http://naturaldb.rcmd.it/RCMD/,2016-03-02
